BLK; Blinker links kaputt
HD; Halbdeppen
HEI; Hilfe ein Idiot
HG; Höchste Gefahr
HG; hirngeschädigt
HGW; Halbes Gehirn weg
HH Hamburg Halbes Hirn, Halbes Hähnchen
HI Hildesheim Halb-Idiot
HIG; Habe Information geliefert
HL; Hamburg Land
HO; Hornochse
HO; Halbossi
HOM; Hirn Ohne Masse
HP; Heckenpisser
HP; Heisse Piste
HP; Hirnloser Penner
HP; Hirn-Patient 
HP; Halbe Portion 
HP; Heil- und Plegeanstalt
HR; Hirnlose Rindviecher
HR; Hessisches Rindvieh
HR; Hessen Ranger
HRO; Hirnlos rasen Ossis
HS; Heisse Sau
HS; Hirnloses Schwein
HSK; Hilfe, Sie kommen
HSK; Hilfe, Sauerländer kommen
HSK; Huch, sie kommen
HSK; Hör nichts, Seh nichts, Kann nichts
HSK; Halb so Klug
HSK; Hochsauerlandkasper
HSK; Huren, Säufer, Kriminelle
HSK; HalbStarKe
HU; Hessisch Uganda
HU; Hampelmänner unterwegs
HVL; Hirni vorne links
HVL; Hirn VerLoren
IK; Irregeleitetes Kraftfahrzeug
IK; illegaler Kraftfahrer
IZ; Idioten Zone
JEV; Jeder ein Verückter
JL; Jammer Lappen
K; Kohlköpfe
K; kölscher Klüngel
KA; Keine Ahnung
KB; Kuh-Bauer
KB; Komplette Blödmänner
KC; Keine Chance
KEH; Kein Eigenes Hirn
KF; Krimineller Fahrer
KG; Kein Geld
KG; kein Geist
KG; kein Gehirn
KH; Kein Hirn
KI; Kann immer
KIB; Keiner ist blöder
KLE; Keiner lebt ewig
KÖT; Keine öffentliche Toilette
KÖN; Kann öfters nichts
KÖN; Kein öffentlicher Nutzen
KÜN; Kraftfahrer übt noch
LAU; lauter Arschlöcher unterwegs
LAU; Links Abbiegen Unfall
LB; Lauter Blöde
LBS; Lauter Blöde Sachsen
LBS; Landesbausparksünder
LD; Lauter Deppen
LDK; Land der Könige
LDK; Lahme dumme Krücke
LDK; Lauter Durstige Kerle
LDK; Lauter Dumm-Köpfe
LEV; Leider etwas verrückt
LI; Lauter Idioten
LIP; Lästiger inkompetenter Penner
LL; Lalli, Lahmarschiger...
LN; Lachnummer
LOS; Leben ohne Spass
LOS; Land ohne Sonne
LOS; Liebe ohne Sex
LÖ; Lenkt öfter
LÖ; Lügt öffentlich
LÖ; Lahme Ölschleuder
LP; Lumpenpack
LS; Lästiger Sauerländer
LS; Listiger Sauerländer
LS; Lustiger Sauerländer
LS; Lüsterner Sauerländer
LS; Lahme Schnecke
LSZ; Liebe, Sex und Zärtlichkeit
LU; Looser unterwegs
MA; Müllabfuhr
MD; Meilenweit doof
MD; Magdeburger Dorfjacken
ME; Motorisierter Esel
MGN; Meiningen Möchte GerN
MIL; Mit Idioten leben
MK; Mistkutscher
MK; miserabler Kraftfahrer
MK; Märkisch Kongo
MK; MeckerKopp
MK; Merkwürdiger Kreis
MKK; Mich kennt keiner
MKK; Mutter kocht Kaffee
MKK; Mutter kauft Kuchen
MKK; Mein Kleiner Knuffel
MOL; Motor ohne Leistung
MOS; Menschen ohne Strassenkenntnisse
MS; Meistens schicka
MSP; Meespetzer
MTL; MutantenLand
MTL; MuTtis Lieblinge
MZG; Mir zugele gemuetlich
NEA; Neandertaler
NEU; Noch ein Unmensch
NEU; Nicht erwachen, untenrum.
NEW; Noch ein Wichser
NF; Neufundland
NF; No Future
NF; Norden Forever
NMS; Nie mit streiten
NOH; Nasen ohne Hosen
NOM; Nimm Oma mit
NVP; Noch vor Polen
NW; Nackte Wahnsinnige
NWM; Nichts Wissender Mensch
OA; Oberarsch
OAL; Oberarschloch
OBG; Ossis Brauchen Geld
OD; Ohne Durchblick
OE; ooch eener
OE; Oller Esel
OF; Ohne Führerschein
OF; Ohne Ferstand
OF; Ost-Frankfurt
OF; Ortsteil Frankfurt
OG; Ohne Gehirn
OH; Ohne Hirn
OHA; OberHarzer Arschloch
OHA; Ohne Hirn Angemeldet
OHV; Ohne Hirn und Verstand
OHZ; Ohne Hirn zugelassen
OHZ; Ochsen haben Zeit
OHZ; Ohne Hosen ziehts
OHZ; OberHarte Zecher
OL; Ordentliche Leute
OL;  Oller Lümmel
OK; Ohne Kopf
OK; Ohne Kommentar
OR; Oberrindvieh
OS; Ordinäre Sau
OSL; OberSchlauer Lübbenauer
OVL; Ochs(en) vom Lande
OVP; Ochsen von Pommern
OVP; Orte vor Polen
PB; permanente Bremse
PB; perverse Blödmänner
PB; Pennbär
PI; Perverse Irre
PI; Provinz Idiot
PI; Pennt immer
PLÖ; Pennt leider öfters
PLÖ; Gott schütze uns vor Wind und Böen, und Fahrern aus dem Kreise Plön
PS; pfälzisch Sibirien
QLB; quer lenkende Blödmänner
RA; rasende Arschlöcher
RD; Riesen Dussel
RS; Rasende Sau
RV; Rindviecher
RZ; Rüde Zeitgenossen
RZ; Rübenzüchter
RZ; Rattenzüchter
SAD; Schwandorf sieht alles doppelt
SAD; Suche Anständige Dame
SAD; So A Depp, Sadisten
SÄK; Schon älteres Kaliber
SÄK; So ärgert Keiner
SB; ständig besoffen
SBK; Selten Bekloppte Kraftfahrer
SBK; SelbsBefriedigungsKiste
SDL; SauDumme Leute
SE; Schöner Esel
SE; sagenhaft eingebildet
SE; Saumäßiger Egoist
SFA; Sau Fährt Auto
SFA; Säufer Fährt Auto
SFA; So Fahren Arschlöcher
SHG; Säufer, Huren und Ganoven
SHG; Seine Hoheit Grüßt 
SHG; Sperrzone heute geöffnet
SHG; SozialHilfeGebiet
SHG; Sozialistisches HoheitsGebiet
SHL; Sozialistisches Hinterland
SHL; Schläfer hinterm Lenkrad
SI; Sicherheit inbegriffen
SI; schon infiziert
SI; Sioux Indianer
SK; Saalkreis
SK; Strapsknipser
SK; Straßenkasper 
SK; Sackkarre
SL; Schlaue Leute
SLS; Saarländische LandSau
SLS; Saarländische LenkradSau
SLZ; Stirb Langsam Zonie
SM; Selbstmörder
SM; Sado-Masochist
SO; Son Ochse
SON; Sonntagsfahrer
SP; Spinner pennen
ST; Süd Texas
ST; Schweine-Taxi
STA; Scheisse, Totaler Anfänger
STD; Sie Töten Dich
SU; Sau unterwegs
SU; Suche Unfall
SÜW; Säufer übers Wochenende
SÜW; Spinner üben wieder
SW; Sauf weiter
TBB; Taub, blöd, blind
TBB; Tausend blöde Bauern
TDO; Tausend Doofe Ossis
TIR; Trottel im Regen
UER; UnterEntwickelte Region
UN; Unfall naht
VB; Vollkommene Blödmänner
VB; völlig blöd
VB; Verkehrsbehinderer
VEC; Verein ehemaliger Christen
VIE; Vollidiot im Einsatz
VIE; Very Important European
VS; Verirrter Schwachkopf
WAF; Wilder Affe fährt
WAK; Wer anders kann`s?
WBS; War bei Stasi
WEB; Wieder ein Bekloppter
WF; Wilder Fahrer
WHV; Wir haben Vorfahrt
WL; Wahnsinniger Landwirt
WL; Wilder Lümmel
WND; Will Nach Deutschland
WOB; Wilder ohne Bildung
WST; Wir stechen Torf
WST; Wir sind Töffel
WST; Wir sammeln Tote
WST; Wir stapeln Trets!
WST; Wir saufen trotzdem
WT; Wäldertrottel
WT; Wilde Tiere
WTM; Wir Trinken Milch
WTM; Wir töten Menschen
WÜ; Weiter üben!
WUG; Wild Und Gefährlich
WUN; Waldmensch unter Naturschutz
WUN; Wildsau unter Narkose
WW; Wilde Wutz
WZ; Wilde Zecher
WZL; (die mit) Wanzen Zecken Laeusen
WZL; Wir zeugen Looser
WZL; Wir zerstören Leben
ZE; Zum Erbarmen
