0; 0 Ahnung
WND; Will Nach Deutschland
WOB; Wilder ohne Bildung
WST; Wir stechen Torf
WST; Wir sind Töffel
WST; Wir sammeln Tote
WST; Wir stapeln Trets!
WST; Wir saufen trotzdem
WT; Wäldertrottel
WT; Wilde Tiere
WTM; Wir trinken Milch
WTM; Wir töten Menschen
WTM; Wir transportieren Mist
WÜ; Weiter üben!
WÜ; wirst überholt
WUG; Wild Und Gefährlich
WUN; Waldmensch unter Naturschutz
WUN; Wildsau unter Narkose
WW; Wilde Wutz
WW; Wilder Westen
WZ; Wilde Zecher
WZL; Wanzen, Zecken, Läuse
WZL; Wir zeugen Looser
WZL; Wir zerstören Leben
ZE; Zum Erbarmen
